"","lang","avg_len","lstm","longitude","latitude"
"475","Smilde Dr",4.4527027027027,3.11962345668248,6.44812,52.9445
"476","Sneek Fr - Snits Fr",4.76744186046512,2.89578642668547,5.66559,53.033
"477","Someren NB",4.77752293577982,2.96512135288172,5.71677,51.3889
"478","Spakenburg Ut",5.03935185185185,2.87060328892299,5.38444,52.2553
"479","Spanbroek NH",4.84738041002278,2.98766653878348,4.94741,52.6948
"480","Spannum Fr",4.7550505050505,3.19870171180138,5.60154,53.1469
"481","Stadskanaal Gn",4.52777777777778,2.91820471627372,6.94878,52.9942
"482","Stavoren Fr - Starum Fr",4.76168224299065,3.03320197339328,5.35813,52.8935
"483","Steenbergen NB",4.87330316742081,2.85628897683662,4.31771,51.5876
"484","Steenderen Gl",4.98194130925508,2.98321696690151,6.19306,52.0656
"488","Steenwijk Ov",4.39237668161435,3.08734773334704,6.1252,52.7937
"491","Stokkum Ov",4.51168224299065,3.28761073521205,6.51306,52.2216
"492","Stolwijk ZH",5.02702702702703,2.85915943492543,4.77438,51.9699
"493","Stompwijk ZH",4.875,2.76433201840049,4.46034,52.0999
"494","Susteren Lb",4.55106888361045,3.07985299093681,5.86045,51.0724
"495","Tegelen Lb",4.58139534883721,2.93349550481428,6.14755,51.3504
"496","Ter Apel Gn",4.51963048498845,2.89395088061952,7.06375,52.8811
"498","Teuge Gl",4.5264367816092,3.03696963661595,6.04896,52.2385
"499","Tiel Gl",4.67800453514739,3.01103264944894,5.43987,51.8904
"501","Tienray Lb",4.55377574370709,2.9937460380688,6.09311,51.4994
"502","Tietjerk Fr - Tytsjerk Fr",4.88220551378446,2.97602726862981,5.9288,53.2072
"503","Tilburg NB",4.65842696629213,3.05135358843887,5.09142,51.5653
"504","Tilligte Ov",4.18491484184915,3.34242718036358,6.95118,52.413
"505","Tjalleberd Fr - Tsjalbert Fr",4.80629539951574,2.94820068359375,5.94375,52.9978
"509","Tubbergen Ov",4.18957345971564,3.30675880581725,6.78793,52.4085
"511","Ulft Gl",5.24090909090909,2.7936224686472,6.37885,51.8916
"512","Urk Fl",5.07126436781609,2.93739235617898,5.59918,52.6637
